experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
HNSW-ToolCompare,StdThread,1,ef,32,0.501836,0.954280,32.073857,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,32,0.499560,0.954280,32.219986,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,32,0.266202,0.954280,60.464670,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,32,0.331386,0.954280,48.571201,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,32,0.170618,0.954280,94.338323,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,32,0.151070,0.954280,106.545416,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,32,0.110620,0.954280,145.505478,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,32,0.103562,0.954280,155.422027,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,32,0.102620,0.954280,156.848723,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,32,0.102634,0.954280,156.827328,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,32,0.095798,0.954280,168.018288,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,32,0.091292,0.954280,176.311353,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,1,ef,64,0.580118,0.954280,27.745762,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,64,0.605528,0.954280,26.581456,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,64,0.289900,0.954280,55.521959,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,64,0.286000,0.954280,56.279077,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,64,0.153716,0.954280,104.711390,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,64,0.183680,0.954280,87.629660,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,64,0.110400,0.954280,145.795435,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,64,0.090980,0.954280,176.915982,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,64,0.085378,0.954280,188.524163,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,64,0.095822,0.954280,167.976206,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,64,0.093852,0.954280,171.502110,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,64,0.095520,0.954280,168.507286,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,1,ef,128,0.651126,0.969400,24.719971,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,128,0.620914,0.969400,25.922778,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,128,0.392630,0.969400,40.994870,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,128,0.385906,0.969400,41.709162,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,128,0.197006,0.969400,81.702161,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,128,0.189082,0.969400,85.126115,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,128,0.115394,0.969400,139.485727,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,128,0.141416,0.969400,113.818917,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,128,0.109870,0.969400,146.498735,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,128,0.106270,0.969400,151.461523,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,128,0.105594,0.969400,152.431161,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,128,0.106960,0.969400,150.484443,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,1,ef,256,1.068214,0.991660,15.067970,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,256,1.045816,0.991660,15.390677,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,256,0.619478,0.991660,25.982869,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,256,0.529876,0.991660,30.376571,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,256,0.350224,0.991660,45.958632,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,256,0.347356,0.991660,46.338097,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,256,0.218940,0.991660,73.517018,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,256,0.213938,0.991660,75.235891,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,256,0.186378,0.991660,86.361137,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,256,0.180110,0.991660,89.366587,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,256,0.207104,0.991660,77.718518,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,256,0.176586,0.991660,91.150012,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-IntraQuery,Layer0MultiEntry,1,ef,128,0.787066,0.969360,20.450402,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,entry_count_as_threads; may be negative optimization
HNSW-IntraQuery,Layer0MultiEntry,2,ef,128,0.825164,1.000000,19.506202,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,entry_count_as_threads; may be negative optimization
HNSW-IntraQuery,Layer0MultiEntry,4,ef,128,0.799634,1.000000,20.128979,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,entry_count_as_threads; may be negative optimization
HNSW-IntraQuery,Layer0MultiEntry,8,ef,128,1.027664,1.000000,15.662528,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,entry_count_as_threads; may be negative optimization
HNSW-IntraQuery,Layer0EdgePartition,1,ef,128,0.600934,0.969300,26.784665,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,level0_edge_index_partition; bottom_graph_only
HNSW-IntraQuery,Layer0EdgePartition,2,ef,128,0.506798,0.999960,31.759825,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,level0_edge_index_partition; bottom_graph_only
HNSW-IntraQuery,Layer0EdgePartition,4,ef,128,0.377714,1.000000,42.613766,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,level0_edge_index_partition; bottom_graph_only
HNSW-IntraQuery,Layer0EdgePartition,8,ef,128,0.317768,0.994480,50.652728,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,level0_edge_index_partition; bottom_graph_only
HNSW-IntraQuery,Layer0PointPartition,1,partitions,1,8.132198,1.000000,1.979270,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,exact_partition_of_layer0_points; scans_all_bottom_nodes
HNSW-IntraQuery,Layer0PointPartition,2,partitions,2,3.901696,1.000000,4.125338,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,exact_partition_of_layer0_points; scans_all_bottom_nodes
HNSW-IntraQuery,Layer0PointPartition,4,partitions,4,2.006620,1.000000,8.021357,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,exact_partition_of_layer0_points; scans_all_bottom_nodes
HNSW-IntraQuery,Layer0PointPartition,8,partitions,8,0.852044,1.000000,18.890827,0.000000,43.279694,0.000000,0.000000,0.000000,0.000000,0.000000,exact_partition_of_layer0_points; scans_all_bottom_nodes
IVF-HNSW,nlist16-M16-efC100,1,nprobe,2,1.367516,0.815660,11.770112,0.000000,26.961021,0.000000,0.000000,0.000000,0.000000,0.000000,nested_ivf_hnsw; each query searches selected shard graphs
IVF-HNSW,nlist16-M16-efC100,2,nprobe,2,0.610836,0.815660,26.350471,0.000000,26.961021,0.000000,0.000000,0.000000,0.000000,0.000000,nested_ivf_hnsw; each query searches selected shard graphs
IVF-HNSW,nlist16-M16-efC100,4,nprobe,2,0.331204,0.815660,48.597891,0.000000,26.961021,0.000000,0.000000,0.000000,0.000000,0.000000,nested_ivf_hnsw; each query searches selected shard graphs
