experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.281545,0.95062,11.2772,0,4.17742,0,0,259.039,22.506,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=64; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.280262,0.95277,11.3289,0,4.17742,0,0,257.675,22.587,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=64; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.278166,0.95062,11.4142,0,4.26834,0,0,253.742,24.424,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.279789,0.95277,11.348,0,4.26834,0,0,255.676,24.113,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.273337,0.95062,11.6159,0,4.28022,0,0,249.879,23.458,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=256; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.277624,0.95277,11.4365,0,4.28022,0,0,255.683,21.941,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=256; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.266967,0.95062,11.8931,0,4.21275,0,0,245.355,21.612,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=512; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.274909,0.95277,11.5495,0,4.21275,0,0,252.959,21.95,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=512; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.260727,0.95062,12.1777,0,4.21392,0,0,235.736,24.991,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.266577,0.95277,11.9105,0,4.21392,0,0,244.584,21.993,0,"batch_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; coarse_host=1; topk_host=1; usm_device=1"
