experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-Flat,DefaultQueue,0,device,0,4.41158,1,0.719708,0,0,0,0,4137.52,274.059,0,"Intel(R) RaptorLake-S Mobile Graphics Controller"
SYCL-Flat,IntelOpenCLGPU,0,device,0,4.17952,1,0.759669,0,0,0,0,3945.97,233.55,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller"
SYCL-Flat,IntelOpenCLCPU,0,device,0,0.795936,1,3.98908,0,0,0,0,696.746,99.19,0,"windows_oneapi; selector_env=opencl:cpu; build=O2; selector=cpu; vendor=Intel(R) Corporation; device=Intel(R) Core(TM) i9-14900HX"
SYCL-Flat,IntelOpenCLGPU,0,device,0,4.35345,1,0.729319,0,0,0,0,4096.26,257.191,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.585883,1,5.41926,0,0.015667,0,0,487.284,98.599,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLCPU-BatchedUSM,0,device,0,0.188771,1,16.8196,0,0.004727,0,0,91.58,97.191,0,"windows_oneapi; selector_env=opencl:cpu; build=O2; selector=cpu; vendor=Intel(R) Corporation; device=Intel(R) Core(TM) i9-14900HX; batch=128; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.582296,1,5.45264,0,0.01606,0,0,501.705,80.591,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=16; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLCPU-BatchedUSM,0,device,0,0.174972,1,18.1461,0,0.003142,0,0,93.492,81.48,0,"windows_oneapi; selector_env=opencl:cpu; build=O2; selector=cpu; vendor=Intel(R) Corporation; device=Intel(R) Core(TM) i9-14900HX; batch=128; query_block=16; query_layout=dim_major; warmup_excluded=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,16,0.602108,0.89836,5.27323,0,4.71167,0,0,548.701,53.407,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=6279; query_layout=dim_major; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,16,0.516441,0.89836,6.14795,0,4.80004,0,0,486.661,29.78,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=20816; query_layout=dim_major; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,24,0.310618,0.93652,10.2217,0,4.80004,0,0,257.378,53.24,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=20816; query_layout=dim_major; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,32,0.455753,0.95611,6.96661,0,4.80004,0,0,377.763,77.99,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=20816; query_layout=dim_major; coarse_host=1; topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,40,0.379523,0.96808,8.3659,0,4.80004,0,0,348.054,31.469,0,"windows_oneapi; selector_env=opencl:gpu; build=SafeO2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=128; candidate_capacity=20816; query_layout=dim_major; coarse_host=1; topk_host=1; usm_device=1"
