experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,3.353,1,0.946929,0,0.021908,0,0,3234.73,118.27,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=1; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.91513,1,1.65788,0,0.030548,0,0,1775.97,139.16,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=2; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.24542,1,2.54939,0,0.030504,0,0,1066.59,178.823,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=4; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.7471,1,4.24984,0,0.02771,0,0,664.96,82.14,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,3.29108,1,0.964745,0,0.032747,0,0,3211.62,79.4567,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=1; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.95538,1,1.62375,0,0.018194,0,0,1767.96,187.427,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=2; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.07613,1,2.95044,0,0.017174,0,0,993.35,82.78,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=4; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.711633,1,4.46164,0,0.025424,0,0,638.27,73.3633,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,3.31184,1,0.958699,0,0.015403,0,0,3214.3,97.5333,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=1; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.8218,1,1.74281,0,0.015479,0,0,1728.58,93.22,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=2; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.08805,1,2.91811,0,0.023257,0,0,998.343,89.7067,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=4; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.752387,1,4.21998,0,0.015578,0,0,632.553,119.833,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,3.34522,1,0.949131,0,0.024519,0,0,3236.27,108.947,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=1; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.83751,1,1.72791,0,0.016345,0,0,1741.76,95.7567,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=2; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,1.08464,1,2.9273,0,0.014897,0,0,997.657,86.98,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=4; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.75275,1,4.21794,0,0.030929,0,0,622.053,130.697,0,"tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=128; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.764063,1,4.15548,0,0.019748,0,0,665,99.0633,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.620807,1,5.1144,0,0.02198,0,0,526.333,94.4733,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=16; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.75832,1,4.18696,0,0.02983,0,0,647.543,110.777,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=8; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.762427,1,4.1644,0,0.027253,0,0,544.81,217.617,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=32; query_block=16; warmup_excluded=1; usm_device=1"
SYCL-Flat,IntelOpenCLGPU-BatchedUSM,0,device,0,0.87823,1,3.61529,0,0.015917,0,0,651.813,226.417,0,"tune2; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; batch=64; query_block=8; warmup_excluded=1; usm_device=1"
