experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,flat,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,512,64,2.860653,0.502733,0.000005,109.105587,851.998568,0.226021,5.970716,858.196020,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,16,64,0.461133,0.450567,4.244452,66.905022,132.010937,0.180006,6.148100,138.339996,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,32,64,0.786314,0.478400,4.260850,51.674843,229.540110,0.244617,6.108522,235.894203,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,50000,300,100,512,64,64,1.243756,0.493700,4.254229,53.703308,366.828203,0.159025,6.138563,373.126745,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,512,64,1.375982,0.502733,0.000003,46.930075,405.464172,15.866041,6.794453,412.794590,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,16,64,0.219692,0.452300,2.122518,60.703754,58.757544,1.000166,6.756067,65.907478,1.020126,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,32,64,0.410556,0.480933,2.099192,45.927525,115.774155,24.036884,6.836414,123.166800,1.022726,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,50000,300,100,512,64,64,0.587434,0.494900,2.113370,47.993660,169.205666,19.610405,6.834269,176.230192,1.013086,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;quick
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,512,64,0.598657,0.502733,0.000002,60.421705,170.378923,5.018711,8.283138,179.597139,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;quick
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,50000,300,100,512,16,64,0.137371,0.456167,1.052013,43.407202,31.927109,5.153418,8.367538,41.211367,1.010577,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;quick
