experiment,method,kernel,platform,mpi_size,nodes,ppn,nthreads,thread_model,comm,nbase,nq,k,nlist,nprobe,ef,latency_ms,recall@100,build_sec,distribute_ms,search_ms,comm_ms,merge_ms,total_ms,work_imbalance,mpi_thread_required,mpi_thread_provided,notes
MPI-ANN,flat,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,512,64,0.298536,0.255160,0.000000,54.367800,276.334800,0.216700,21.984600,298.536300,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,16,64,0.102022,0.233120,0.866914,45.066900,65.774500,0.401700,35.845400,102.022000,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,32,64,0.050811,0.245640,0.454658,36.656400,37.947200,0.152300,12.711000,50.810500,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,64,64,0.146466,0.251920,0.806575,63.354400,132.159500,0.237200,14.069100,146.466000,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,128,64,0.127492,0.254230,0.739124,72.054000,106.761900,0.168800,20.561300,127.492200,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,1,1,1,1,stdthread,blocking,25000,1000,100,512,256,64,0.203625,0.255080,0.868646,62.127500,174.500400,0.359900,28.764000,203.624600,1.000000,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,512,64,0.122651,0.255160,0.000000,34.484800,106.849100,1.280900,15.426100,122.651000,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,16,64,0.035749,0.234370,0.218352,34.153000,20.509100,0.461200,14.778000,35.748500,1.015096,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,32,64,0.039715,0.246630,0.220017,35.318000,25.279700,0.629100,14.053000,39.715300,1.022667,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,64,64,0.047901,0.252300,0.215063,35.105500,33.581900,0.486700,13.945900,47.900800,1.021268,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,128,64,0.061714,0.254530,0.215553,33.867000,47.969300,0.604000,13.555300,61.714100,1.017277,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,2,1,2,1,stdthread,blocking,25000,1000,100,512,256,64,0.093744,0.255120,0.219382,36.013800,79.182900,1.382300,14.080400,93.744200,1.015100,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,512,64,0.081040,0.255160,0.000000,33.290400,63.956800,1.804600,16.712100,81.040200,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,16,64,0.032577,0.236550,0.113704,34.064000,16.288000,0.871800,15.722000,32.576800,1.026645,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,32,64,0.036372,0.247950,0.113024,33.663000,19.135400,1.025000,16.809900,36.371600,1.027496,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,64,64,0.040422,0.253080,0.113983,33.961700,23.606900,1.504400,16.330600,40.422300,1.028344,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,128,64,0.047988,0.254810,0.113316,33.571000,31.517400,0.908000,16.013500,47.987900,1.019384,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=128-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,4,1,4,1,stdthread,blocking,25000,1000,100,512,256,64,0.065379,0.255150,0.114107,33.767500,48.209500,1.881100,16.721800,65.378900,1.016595,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=256-ef=64;full
MPI-ANN,flat,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,512,64,0.066313,0.255160,0.000000,33.876100,46.212800,5.036300,19.053200,66.312800,1.000000,1,1,flat-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=512-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,16,64,0.035394,0.240860,0.078688,35.813200,14.498800,2.485500,19.847700,35.394100,1.029787,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=16-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,32,64,0.038515,0.250260,0.076895,35.775100,18.430400,3.529300,18.997100,38.515300,1.018106,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
MPI-ANN,ivf,simd,x86_or_cluster,8,1,8,1,stdthread,blocking,25000,1000,100,512,64,64,0.041997,0.254000,0.071370,34.631500,21.631500,3.677900,19.061200,41.997200,1.021477,1,1,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
