experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
HNSW-ToolCompare,StdThread,1,ef,32,0.082724,0.954540,44.227117,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,32,0.078572,0.954540,46.564221,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,32,0.041222,0.954540,88.754646,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,32,0.042276,0.954540,86.541868,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,32,0.021993,0.954540,166.354931,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,32,0.021948,0.954540,166.696009,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,32,0.013461,0.954540,271.795855,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,32,0.015361,0.954540,238.177462,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,32,0.013917,0.954540,262.890278,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,32,0.015027,0.954540,243.471352,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,32,0.013124,0.954540,278.775069,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,32,0.010768,0.954540,339.770059,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,1,ef,64,0.086151,0.954540,42.467807,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,64,0.078811,0.954540,46.423012,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,64,0.041766,0.954540,87.598621,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,64,0.042667,0.954540,85.748799,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,4,ef,64,0.027063,0.954540,135.189890,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,4,ef,64,0.025190,0.954540,145.241921,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,8,ef,64,0.018705,0.954540,195.597113,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,8,ef,64,0.018267,0.954540,200.287075,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,16,ef,64,0.012690,0.954540,288.309220,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,16,ef,64,0.013502,0.954540,270.970523,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,32,ef,64,0.011492,0.954540,318.364427,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,32,ef,64,0.009739,0.954540,375.669371,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,1,ef,128,0.097450,0.969510,37.543807,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,1,ef,128,0.108344,0.969510,33.768774,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
HNSW-ToolCompare,StdThread,2,ef,128,0.045485,0.969510,80.436276,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,single_index_query_parallel
HNSW-ToolCompare,StdAsync,2,ef,128,0.045529,0.969510,80.358541,0.000000,7.662786,0.000000,0.000000,0.000000,0.000000,0.000000,cpp_standard_async
