experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
OpenMP-CPU-Baseline,FlatScalar-Pthread1T,1,method,0,4.788496,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,baseline_for_speedup_only
OpenMP-CPU-Flat,Query-static,1,schedule,0,2.867783,1.000000,1.669755,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-static,2,schedule,0,0.964855,1.000000,4.962918,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-static,4,schedule,0,0.587066,1.000000,8.156657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-static,8,schedule,0,0.361787,1.000000,13.235677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-static,16,schedule,0,0.299443,1.000000,15.991344,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-static,32,schedule,0,0.306622,1.000000,15.616936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,1,schedule,1,2.006908,1.000000,2.386007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,2,schedule,1,1.024683,1.000000,4.673149,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,4,schedule,1,0.598050,1.000000,8.006849,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,8,schedule,1,0.340772,1.000000,14.051906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,16,schedule,1,0.262462,1.000000,18.244531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-Flat,Query-dynamic,32,schedule,1,0.233670,1.000000,20.492558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_query_parallel; simd=SSE
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,1,local_p,100,1.879228,1.000000,2.548119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,8,local_p,100,0.738118,1.000000,6.487440,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,32,local_p,100,0.856613,1.000000,5.590034,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,1,local_p,100,2.113750,1.000000,2.265403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,8,local_p,100,0.520383,1.000000,9.201869,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,32,local_p,100,0.664854,1.000000,7.202327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,1,local_p,500,2.190209,1.000000,2.186319,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,8,local_p,500,1.155161,1.000000,4.145306,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-static,32,local_p,500,2.338301,1.000000,2.047853,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,1,local_p,500,2.055236,1.000000,2.329901,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,8,local_p,500,0.980894,1.000000,4.881767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,32,local_p,500,1.786242,1.000000,2.680766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,host_openmp_base_partition; topk_reduce
OpenMP-CPU-PQ-ADC,M16-static,1,p,500,1.376325,0.952850,3.479190,1.698304,0.828071,0.000000,10.133000,506.805000,750.062000,90.486000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,2,p,500,0.748353,0.952850,6.398713,1.698304,0.828071,0.000000,12.759000,557.995000,804.408000,85.922000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,4,p,500,0.421571,0.952850,11.358694,1.698304,0.828071,0.000000,21.905000,633.650000,894.554000,76.718000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,8,p,500,0.335936,0.952850,14.254191,1.698304,0.828071,0.000000,87.490000,969.693000,1151.211000,106.114000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,16,p,500,0.257661,0.952850,18.584481,1.698304,0.828071,0.000000,239.565000,1259.852000,1473.222000,185.620000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-static,32,p,500,0.214155,0.952850,22.359954,1.698304,0.828071,0.000000,443.946000,1790.424000,1767.608000,370.181000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,1,p,500,1.406143,0.952850,3.405412,1.698304,0.828071,0.000000,10.556000,528.486000,765.921000,77.214000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,2,p,500,0.739849,0.952850,6.472261,1.698304,0.828071,0.000000,14.020000,561.137000,796.995000,77.480000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,4,p,500,0.449382,0.952850,10.655736,1.698304,0.828071,0.000000,19.727000,683.434000,942.200000,83.504000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,8,p,500,0.312201,0.952850,15.337862,1.698304,0.828071,0.000000,49.747000,946.342000,1237.442000,108.477000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,16,p,500,0.211254,0.952850,22.667007,1.698304,0.828071,0.000000,46.434000,1257.391000,1622.307000,145.401000,host_openmp_query_parallel; thread_local_lut
OpenMP-CPU-PQ-ADC,M16-dynamic,32,p,500,0.175798,0.952850,27.238626,1.698304,0.828071,0.000000,157.307000,1677.696000,2140.931000,204.928000,host_openmp_query_parallel; thread_local_lut
