source,experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,dominant_stage,dominant_stage_us,dominant_stage_ratio,notes
x86_pthread_main,FastScan,b64,32,p,750,0.081048,0.98171,57.788631,0.541155,0.0,68.467,786.027,1050.545,145.665,select_us,1050.545,0.5122850494269285,lut_mae=0.000214
x86_pthread_main,Flat-Ablation,SSE,32,method,0,0.130451,1.0,35.903542,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
x86_pthread_main,Flat-BaseSplit,PrefetchTopK,32,local_p,100,0.235348,1.0,19.900968,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
x86_pthread_main,IVF,nl512,32,nprobe,32,0.044471,0.95695,105.319264,24.678352,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
x86_pthread_main,IVF-PQ,nl128,1,nprobe,16,0.419727,0.96004,11.158808,5.781466,0.0,8.499,230.849,0.0,160.631,scan_us,230.849,0.5771528005220274,global_pq_M16_p1000
x86_pthread_main,PQ-M,M8,32,p,1500,0.084262,0.9522,55.584403,0.463806,0.0,15.941,680.023,1015.001,260.765,select_us,1015.001,0.5147768710726114,
x86_pthread_main,SQ8,SQ8-LUT,32,p,50,0.296953,0.98954,15.772371,0.01641,0.0,0.0,0.0,0.0,29.075,rerank_us,29.075,1.0,
x86_pthread_main,Scaling,FastScan-b64-p500,32,threads,32,0.087171,0.95283,53.729486,0.541155,0.0,56.62,750.347,1088.352,117.644,select_us,1088.352,0.5406716367861705,
x86_pthread_hnsw,HNSW-IntraQuery,Layer0EdgePartition,4,ef,128,0.07954,0.99982,45.997536,7.662786,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,level0_edge_index_partition; bottom_graph_only
x86_pthread_hnsw,HNSW-ToolCompare,StdAsync,32,ef,64,0.009739,0.95454,375.669371,7.662786,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,cpp_standard_async
x86_pthread_hnsw,IVF-HNSW,nlist16-M16-efC100,32,nprobe,8,0.062297,0.98278,58.729056,4.908406,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,nested_ivf_hnsw; each query searches selected shard graphs
x86_openmp_cpu,OpenMP-CPU-Baseline,FlatScalar-Pthread1T,1,method,0,4.788496,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,baseline_for_speedup_only
x86_openmp_cpu,OpenMP-CPU-Flat,Query-dynamic,32,schedule,1,0.23367,1.0,20.492558,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,host_openmp_query_parallel; simd=SSE
x86_openmp_cpu,OpenMP-CPU-FlatBaseSplit,BaseSplit-dynamic,8,local_p,100,0.520383,1.0,9.201869,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,host_openmp_base_partition; topk_reduce
x86_openmp_cpu,OpenMP-CPU-IVF,nl512-dynamic,32,nprobe,32,0.08206,0.95695,58.353595,21.309354,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,host_openmp_query_parallel; coarse_plus_fine_scan
x86_openmp_cpu,OpenMP-CPU-PQ-ADC,M16-dynamic,32,p,500,0.175798,0.95285,27.238626,0.828071,0.0,157.307,1677.696,2140.931,204.928,select_us,2140.931,0.5120788488115608,host_openmp_query_parallel; thread_local_lut
x86_openmp_target,OpenMP-Target-IVF,LevelZero-IVF-nl2048-cap3840,0,nprobe,81,0.186502,0.95017,17.02423,10.386833,27.519,3.831,128.732,19.206,0.0,scan_us,128.732,0.7180179376199187,openmp_target_accelerator_device;target_initial_device=0;batch=1000;avg_candidates=3808;coarse_us_in_encode;candidate_fill_us_in_lut
x86_sycl_o2,SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl2048,0,nprobe,80,0.215992,0.9506,21.6844,19.4983,0.0,0.0,209.993,5.999,0.0,scan_us,209.993,0.9722258231786363,windows_oneapi; selector_env=opencl:gpu; build=O2; backend=SYCL; compiler=Intel(R) oneAPI DPC++/C++ Compiler 2024.2.1 (2024.2.1.20240711); selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=9929; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1
arm_pthread_main,FastScan,b128,32,p,500,0.298396,0.95252,57.082293,1.7563,0.0,170.414,3845.236,2014.618,336.224,scan_us,3845.236,0.6039803395653367,lut_mae=0.000213
arm_pthread_main,Flat-Ablation,PrefetchTopK,32,method,0,1.106842,1.0,15.388943,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
arm_pthread_main,Flat-BaseSplit,PrefetchTopK,16,local_p,100,0.717344,1.0,23.744714,0.0,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
arm_pthread_main,IVF,nl512,32,nprobe,32,0.19323,0.95624,88.149501,112.143926,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,
arm_pthread_main,IVF-PQ,nl512,1,nprobe,32,0.992774,0.95242,17.157105,112.143926,0.0,30.48,586.048,0.0,322.956,scan_us,586.048,0.6237977442936761,global_pq_M16_p1000
arm_pthread_main,PQ-M,M8,32,p,1500,0.314184,0.95098,54.213862,1.795137,0.0,33.536,2665.096,3070.892,895.802,select_us,3070.892,0.4607264520895152,
arm_pthread_main,PQ-SDC,M16,32,p,1500,0.541248,0.9752,31.470099,1.7563,206.94,0.0,9068.206,2295.534,1938.396,scan_us,9068.206,0.671267672193124,
arm_pthread_main,SQ8,SQ8-LUT,32,p,200,2.308882,1.0,7.377219,0.045104,0.0,0.0,0.0,0.0,530.372,rerank_us,530.372,1.0,
arm_pthread_main,Scaling,FastScan-b64-p500,32,threads,32,0.304762,0.95252,55.889934,1.7563,0.0,66.434,3693.97,2182.854,387.228,scan_us,3693.97,0.5835207597015458,
arm_pthread_hnsw,HNSW-IntraQuery,Layer0EdgePartition,8,ef,128,0.317768,0.99448,50.652728,43.279694,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,level0_edge_index_partition; bottom_graph_only
arm_pthread_hnsw,HNSW-ToolCompare,StdThread,16,ef,64,0.085378,0.95428,188.524163,43.279694,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,single_index_query_parallel
arm_pthread_hnsw,IVF-HNSW,nlist16-M16-efC100,32,nprobe,8,0.690392,0.98318,23.314024,26.961021,0.0,0.0,0.0,0.0,0.0,wall_time_only,0.0,0.0,nested_ivf_hnsw; each query searches selected shard graphs
