experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
Flat-Ablation,Scalar,1,method,0,4.683653,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,1,method,0,5.764221,1.000000,0.812539,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,2,method,0,1.685979,1.000000,2.778002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,4,method,0,0.803745,1.000000,5.827287,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,8,method,0,0.450945,1.000000,10.386307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,16,method,0,0.324909,1.000000,14.415276,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,32,method,0,0.243225,1.000000,19.256462,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,1,method,0,3.536924,1.000000,1.324216,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,2,method,0,1.514027,1.000000,3.093507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,4,method,0,0.727192,1.000000,6.440738,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,8,method,0,0.428931,1.000000,10.919362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,16,method,0,0.271686,1.000000,17.239214,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,32,method,0,0.183872,1.000000,25.472356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,1,method,0,2.079648,1.000000,2.252137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,2,method,0,1.029666,1.000000,4.548711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,4,method,0,0.520070,1.000000,9.005813,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,8,method,0,0.333194,1.000000,14.056835,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,16,method,0,0.184765,1.000000,25.349244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,SSE,32,method,0,0.130451,1.000000,35.903542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,1,method,0,2.621728,1.000000,1.786476,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,2,method,0,1.009033,1.000000,4.641724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,4,method,0,0.531156,1.000000,8.817848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,8,method,0,0.327081,1.000000,14.319551,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,16,method,0,0.200002,1.000000,23.418031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AVX2,32,method,0,0.142872,1.000000,32.782162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,1,method,0,4.806496,1.000000,0.974442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,2,method,0,1.510237,1.000000,3.101270,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,4,method,0,0.704610,1.000000,6.647157,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,8,method,0,0.473819,1.000000,9.884899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,16,method,0,0.268899,1.000000,17.417889,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,NEON-Unroll4,32,method,0,0.188427,1.000000,24.856592,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,1,method,0,4.448898,1.000000,1.052767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,2,method,0,1.389597,1.000000,3.370512,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,4,method,0,0.685572,1.000000,6.831745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,8,method,0,0.374523,1.000000,12.505649,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,16,method,0,0.250933,1.000000,18.664954,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,PrefetchTopK,32,method,0,0.177848,1.000000,26.335146,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,1,local_p,100,3.425822,1.000000,1.367162,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,100,1.435424,1.000000,3.262906,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,4,local_p,100,0.701459,1.000000,6.677016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,8,local_p,100,0.389401,1.000000,12.027840,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,16,local_p,100,0.281812,1.000000,16.619778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,32,local_p,100,0.235348,1.000000,19.900968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,1,local_p,200,2.902602,1.000000,1.613605,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,200,1.346810,1.000000,3.477590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,4,local_p,200,0.731128,1.000000,6.406064,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,8,local_p,200,0.416462,1.000000,11.246291,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,16,local_p,200,0.307256,1.000000,15.243488,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,32,local_p,200,0.284863,1.000000,16.441774,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,1,local_p,500,2.646044,1.000000,1.770059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,2,local_p,500,1.407619,1.000000,3.327358,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-BaseSplit,PrefetchTopK,4,local_p,500,0.848618,1.000000,5.519153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
