experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
Flat-Ablation,Scalar,1,method,0,17.033128,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,1,method,0,21.898390,1.000000,0.777826,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,2,method,0,10.751588,1.000000,1.584243,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,4,method,0,5.178694,1.000000,3.289078,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,8,method,0,2.955766,1.000000,5.762678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,16,method,0,2.738772,1.000000,6.219257,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,Scalar,32,method,0,2.487884,1.000000,6.846432,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,1,method,0,11.361652,1.000000,1.499177,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,2,method,0,5.407948,1.000000,3.149647,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,4,method,0,2.630214,1.000000,6.475948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,8,method,0,1.954612,1.000000,8.714327,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,16,method,0,1.582596,1.000000,10.762777,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Flat-Ablation,AutoVec,32,method,0,1.372384,1.000000,12.411343,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
