experiment,method,nthreads,param1,param2,latency_ms,recall@100,speedup,index_mb,build_sec,encode_us,lut_us,scan_us,select_us,rerank_us,notes
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.224072,0.94037,14.1698,0,4.54126,0,0,218.619,5.453,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=4; partial_candidates=256; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.227943,0.94241,13.9292,0,4.54126,0,0,222.636,5.307,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=4; partial_candidates=256; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.234993,0.95061,13.5113,0,4.25659,0,0,225.27,9.723,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=8; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.239947,0.95276,13.2323,0,4.25659,0,0,231.079,8.868,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=8; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.239888,0.95062,13.2356,0,4.16892,0,0,228.144,11.744,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=16; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.243289,0.95277,13.0505,0,4.16892,0,0,231.32,11.969,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=64; local_k=16; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.225117,0.95002,14.104,0,4.27667,0,0,216.765,8.352,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.232082,0.95216,13.6807,0,4.27667,0,0,224.045,8.037,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=4; partial_candidates=512; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.235544,0.95062,13.4797,0,4.18188,0,0,223.476,12.068,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=8; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.246407,0.95277,12.8854,0,4.18188,0,0,234.995,11.412,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=8; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.239875,0.95062,13.2363,0,4.2717,0,0,224.835,15.04,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=16; partial_candidates=2048; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.248144,0.95277,12.7952,0,4.2717,0,0,232.177,15.967,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=128; local_k=16; partial_candidates=2048; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,29,0.227325,0.9506,13.967,0,4.19463,0,0,216.323,11.002,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=256; local_k=4; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
SYCL-IVF,IntelOpenCLGPU-BatchedUSM-IVF-nl512,0,nprobe,30,0.235655,0.95275,13.4733,0,4.19463,0,0,225.103,10.552,0,"blocktop_tune; selector=intel-gpu; vendor=Intel(R) Corporation; device=Intel(R) RaptorLake-S Mobile Graphics Controller; target_recall=0.950000; batch=1000; candidate_capacity=10890; query_layout=dim_major; flat_lists_gpu=1; gpu_block_topk=1; workgroup=256; local_k=4; partial_candidates=1024; coarse_host=1; final_topk_host=1; usm_device=1"
