method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,19.075000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,18.963000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,18.994000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,19.258000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,19.036000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,12.292000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,12.346000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,11.871000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,11.790000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,11.498000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,8.343000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,8.385000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,8.436000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,8.495000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,8.484000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,8.569000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,8.517000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,8.459000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,8.502000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,8.586000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,1,8.267000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,2,8.551000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,3,8.591000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,4,8.824000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,5,9.063000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,1,9.842000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,2,9.927000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,3,10.409000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,4,10.471000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,5,10.406000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,10.017000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,9.840000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,9.077000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,9.156000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,9.311000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,1,9.304000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch-FixedTopK,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,fixed-array,2,9.208000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
