method,family,label,latency_ms,bytes_per_query,ops_per_query,arithmetic_intensity,effective_gops,effective_bandwidth_gbs
PQ-ADC-M8-p100,PQ-ADC,"M8, p=100",1.332,846592.0,868352.0,1.0257030541276082,0.6519159159159158,0.6355795795795796
PQ-ADC-M8-p500,PQ-ADC,"M8, p=500",1.6949999999999998,1000192.0,945152.0,0.9449705656513949,0.5576117994100296,0.5900837758112094
PQ-ADC-M12-p100,PQ-ADC,"M12, p=100",1.8066,1250688.0,1268352.0,1.014123426466073,0.7020657588840916,0.6922882763201594
PQ-ADC-M8-p1000,PQ-ADC,"M8, p=1000",2.1466000000000003,1192192.0,1041152.0,0.8733089972085033,0.4850237585018167,0.5553861921177675
PQ-ADC-M12-p500,PQ-ADC,"M12, p=500",2.1812,1404288.0,1345152.0,0.9578889800382827,0.6167027324408583,0.6438144140839904
PQ-ADC-M16-p100,PQ-ADC,"M16, p=100",2.5478,1654784.0,1668352.0,1.0081992574257426,0.65482062956276,0.6494952508046158
PQ-ADC-M12-p1000,PQ-ADC,"M12, p=1000",2.6372,1596288.0,1441152.0,0.9028145297089247,0.5464704990141058,0.6052965266191415
SQ8-U8SIMD-rerank-p100,SQ8-U8SIMD,SQ8-U8 p=100,2.7898,9638400.0,9619200.0,0.99800796812749,3.447989103161517,3.4548713169402823
SQ8-U8SIMD-rerank-p200,SQ8-U8SIMD,SQ8-U8 p=200,2.8112000000000004,9676800.0,9638400.0,0.996031746031746,3.4285714285714284,3.4422310756972108
PQ-ADC-M16-p500,PQ-ADC,"M16, p=500",2.9704,1808384.0,1745152.0,0.9650339750849377,0.5875141395098302,0.6088015082143818
PQ-ADC-M8-p2000,PQ-ADC,"M8, p=2000",2.9874,1576192.0,1233152.0,0.7823615397108982,0.4127843609827944,0.5276133092321083
SQ8-U8SIMD-rerank-p500,SQ8-U8SIMD,SQ8-U8 p=500,3.011,9792000.0,9696000.0,0.9901960784313726,3.2201926270342076,3.252075722351378
PQ-ADC-M12-p2000,PQ-ADC,"M12, p=2000",3.4536000000000002,1980288.0,1633152.0,0.8247042854372697,0.4728839471855455,0.5733981931897151
PQ-ADC-M16-p1000,PQ-ADC,"M16, p=1000",3.4712000000000005,2000384.0,1841152.0,0.9203992833375991,0.5304079280940308,0.5762802489052776
PQ-ADC-Select-M16-p2000,PQ-ADC,"Select M16, p=2000",3.584,2384384.0,2033152.0,0.8526948679407343,0.5672857142857143,0.6652857142857143
SQ8-U8SIMD-rerank-p1000,SQ8-U8SIMD,SQ8-U8 p=1000,3.8091999999999997,9984000.0,9792000.0,0.9807692307692307,2.570618502572719,2.6210227869368903
PQ-ADC-M16-p2000,PQ-ADC,"M16, p=2000",4.4074,2384384.0,2033152.0,0.8526948679407343,0.46130417025910975,0.5409955983119299
SQ8-U8SIMD-rerank-p2000,SQ8-U8SIMD,SQ8-U8 p=2000,4.4228,10368000.0,9984000.0,0.9629629629629629,2.2573935063760517,2.3442163335443618
PQ-ADC-M8-p5000,PQ-ADC,"M8, p=5000",5.386,2728192.0,1809152.0,0.6631322135685465,0.33589899740066836,0.5065339769773487
PQ-ADC-M12-p5000,PQ-ADC,"M12, p=5000",5.715,3132288.0,2209152.0,0.7052838053205835,0.3865532808398951,0.5480818897637795
SQ8-U8SIMD-rerank-p5000,SQ8-U8SIMD,SQ8-U8 p=5000,6.1936,11520000.0,10560000.0,0.9166666666666666,1.7049857917850686,1.8599845001291657
PQ-ADC-M16-p5000,PQ-ADC,"M16, p=5000",6.8835999999999995,3536384.0,2609152.0,0.7378022296221225,0.3790388750072637,0.5137404846301354
Flat-Manual-NEON,Flat,NEON,8.4286,38400000.0,19200000.0,0.5,2.2779583798021026,4.555916759604205
