experiment,method,device,nbase,nq,dim,k,batch,nlist,nprobe,iters,repeat,build_ms,candidate_ms,compute_ms,topk_ms,total_ms,latency_ms,recall@100,avg_candidates,scored_pairs,waste_ratio,notes
GPU-ANN,cuda_flat_tiled,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,16,256,32,3,3,0.000000,0.000000,60.783744,135.654100,239.174800,0.239175,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_cublas,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,16,256,32,3,3,0.000000,0.000000,13.126528,135.935800,189.964400,0.189964,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_tiled,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,32,256,32,3,3,0.000000,0.000000,59.988160,134.322700,232.258100,0.232258,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_cublas,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,32,256,32,3,3,0.000000,0.000000,7.736544,139.663100,185.678300,0.185678,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_tiled,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,64,256,32,3,3,0.000000,0.000000,60.511264,165.286700,263.007800,0.263008,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_cublas,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,64,256,32,3,3,0.000000,0.000000,30.591616,137.624500,202.700600,0.202701,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_tiled,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,32,3,3,0.000000,0.000000,59.681791,141.589300,237.237900,0.237238,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_cublas,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,32,3,3,0.000000,0.000000,3.667040,138.798800,177.756900,0.177757,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_tiled,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,256,256,32,3,3,0.000000,0.000000,60.182081,146.643700,239.439900,0.239440,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_cublas,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,256,256,32,3,3,0.000000,0.000000,3.412512,147.096100,184.976100,0.184976,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_naive,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,32,256,32,3,3,0.000000,0.000000,190.966560,180.422900,414.262400,0.414262,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cuda_flat_naive,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,32,3,3,0.000000,0.000000,234.021889,195.404700,468.012800,0.468013,1.000000,100000.000000,100000000.000000,1.000000,full
GPU-ANN,cpu_flat,NVIDIA GeForce RTX 4060 Laptop GPU,100000,100,96,100,1,256,32,3,1,0.000000,0.000000,312.206100,19.330400,331.536500,3.315365,1.000000,100000.000000,10000000.000000,1.000000,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,12,3,3,1574.867800,24.358700,16.085120,29.515500,94.047200,0.094047,0.910480,6910.972000,13059680.000000,1.889702,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,16,3,3,1591.158300,30.395800,20.867584,30.938600,112.675500,0.112675,0.935750,8829.307000,15393000.000000,1.743398,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,18,3,3,1654.383800,32.614500,22.199072,32.126500,117.853000,0.117853,0.943930,9722.823000,16328936.000000,1.679444,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,20,3,3,1847.128100,34.586500,24.729504,31.726600,126.991700,0.126992,0.951020,10613.428000,17303384.000000,1.630329,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,22,3,3,1751.525200,39.647000,26.264704,35.752600,137.317900,0.137318,0.956850,11522.933000,18407784.000000,1.597491,full
GPU-ANN,cuda_ivf,NVIDIA GeForce RTX 4060 Laptop GPU,100000,1000,96,100,128,256,24,3,3,2047.531700,41.046600,28.709568,38.796300,148.394100,0.148394,0.961410,12384.093000,19320048.000000,1.560070,full
