method,kernel,mpi_size,nthreads,thread_model,comm,nprobe,ef,latency_ms,recall@100,build_sec,search_ms,comm_ms,merge_ms,work_imbalance,notes
hnsw,simd,2,4,openmp,nonblocking,64,64,0.032999,0.98157,2.774112,15.8161,0.5814,16.805,1.0,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,2,4,stdthread,nonblocking,64,64,0.033525,0.98157,2.754595,18.1661,1.1358,15.2384,1.0,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,4,4,openmp,nonblocking,64,64,0.043843,0.9929,1.314469,24.0294,1.963,19.232,1.0,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,4,4,stdthread,nonblocking,64,64,0.045532,0.9929,1.327164,26.4089,2.4527,18.7847,1.0,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,2,2,openmp,nonblocking,64,64,0.046213,0.98157,2.745689,30.1455,0.716,15.9387,1.0,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,2,2,stdthread,nonblocking,64,64,0.047884,0.98157,2.716935,31.4107,1.8596,16.3352,1.0,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,4,2,openmp,nonblocking,64,64,0.051957,0.9929,1.293452,31.4948,3.2819,20.2171,1.0,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,4,2,stdthread,nonblocking,64,64,0.052152,0.9929,1.314071,31.9546,2.6241,19.8448,1.0,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
hnsw,simd,8,4,stdthread,nonblocking,64,64,0.052773,0.99791,0.668209,29.1919,6.3829,22.861,1.0,hnsw-comm=nonblocking-tm=stdthread-kernel=simd-nl=512-npb=64-ef=64;full
ivf,simd,8,1,stdthread,blocking,32,64,0.057296,0.96542,0.291472,36.8975,5.334,19.3558,1.036171,ivf-comm=blocking-tm=stdthread-kernel=simd-nl=512-npb=32-ef=64;full
hnsw,simd,8,4,openmp,nonblocking,64,64,0.05959,0.99791,0.686469,26.932,3.4311,30.957,1.0,hnsw-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
ivf,simd,8,4,openmp,nonblocking,64,64,0.061457,0.98916,0.302375,30.7565,4.0509,29.5597,1.03183,ivf-comm=nonblocking-tm=openmp-kernel=simd-nl=512-npb=64-ef=64;full
