timestamp_us,kernel,family,Q,repeat,latency_ms_mean,recall_mean,encode_ms_mean,lut_ms_mean,scan_ms_mean,select_ms_mean,rerank_ms_mean,build_time_sec,block_size
1778129029799442,fssdc-m16-p1000-b32,fssdc,200,1,3.050000,0.993500,0.034000,0.042000,2.040000,0.740000,0.190000,1.038674,32
1778129034829337,fsadc-m16-p2000-b32,fsadc,200,1,3.296000,1.000000,0.000000,0.062000,2.052000,0.766000,0.413000,1.188156,32
1778129035265299,sdc-m16-p1000,sdc,200,1,3.729000,0.993000,0.034000,0.000000,2.673000,0.743000,0.276000,1.351309,32
1778129084340686,fsadc-m16-p2000-b32,fsadc,2000,3,3.533000,0.999950,0.000000,0.065000,2.146667,0.785000,0.533667,1.058629,32
1778129085465223,fsadc-m16-p1500-b32,fsadc,2000,3,3.415333,0.999950,0.000000,0.064000,2.101333,0.783333,0.463667,1.117425,32
1778129086123872,fsadc-m16-p1000-b32,fsadc,2000,3,3.186333,0.999750,0.000000,0.063000,2.048000,0.765000,0.307333,1.190965,32
1778129133687590,fsadc-m16-p1400-b32,fsadc,2000,3,3.479667,0.999950,0.000000,0.068667,2.214000,0.782000,0.412333,1.060607,32
1778129134949260,fsadc-m16-p1300-b32,fsadc,2000,3,3.368000,0.999850,0.000000,0.066000,2.096333,0.775000,0.428000,1.121085,32
1778129136333261,fsadc-m16-p1200-b32,fsadc,2000,3,3.275000,0.999850,0.000000,0.065333,2.056333,0.765000,0.385667,1.205378,32
1778129196370489,fsadc-m16-p1500-b64,fsadc,2000,3,3.178667,0.999950,0.000000,0.061000,1.920000,0.770000,0.424667,1.128746,64
1778129198067733,fsadc-m16-p1500-b16,fsadc,2000,3,3.658333,0.999950,0.000000,0.066333,2.366333,0.781000,0.441333,1.061810,16
1778129228302115,fsadc-m16-p1500-b128,fsadc,2000,3,3.293000,0.999950,0.000000,0.067000,1.944333,0.781333,0.497333,1.056480,128
1778129984361304,fsadc-m16-p1500-b64,fsadc,2000,3,3.124333,0.999950,0.000000,0.063333,1.868000,0.814667,0.375667,1.122411,64
1778157781153980,flat-neon,flat,2000,3,7.386333,0.999950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32
1778157824463744,flat-unroll4,flat,2000,3,7.195000,0.999950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32
1778157869594177,flat-fixed,flat,2000,3,7.502333,0.999950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,32
1778157890062875,pqsel-m16-p500,pqsel,2000,3,3.218333,0.996101,0.000000,0.028333,2.212333,0.805667,0.170000,1.069124,32
1778157911961923,pqsel-m16-p1000,pqsel,2000,3,3.444000,0.999750,0.000000,0.029000,2.225667,0.814667,0.372000,1.133698,32
1778157935319452,pqsel-m16-p2000,pqsel,2000,3,3.686667,0.999950,0.000000,0.028333,2.229667,0.830333,0.595667,1.141824,32
1778157951324189,pqsel-m8-p2000,pqsel,2000,3,2.471667,0.994851,0.000000,0.029333,1.080333,0.814667,0.544333,1.088172,32
1778157970326159,pqsel-m12-p2000,pqsel,2000,3,2.981000,0.999650,0.000000,0.029333,1.566000,0.822333,0.561000,1.025924,32
1778157972230936,sdc-m16-p1000,sdc,200,1,3.823000,0.993000,0.035000,0.000000,2.687000,0.785000,0.314000,1.060198,32
1778157974230505,sdc-m16-p2000,sdc,200,1,4.104000,0.999000,0.035000,0.000000,2.703000,0.796000,0.566000,1.095607,32
1778157975969722,sdc-m8-p2000,sdc,200,1,2.648000,0.914500,0.036000,0.000000,1.308000,0.768000,0.533000,1.129028,32
1778157977886545,sdc-m12-p2000,sdc,200,1,3.646000,0.979000,0.037000,0.000000,2.014000,0.756000,0.837000,1.107135,32
1778157992055465,fsadc-m16-p500-b16,fsadc,2000,3,2.158667,0.996101,0.000000,0.063333,1.118333,0.813000,0.161667,1.121568,16
1778158006180782,fsadc-m16-p500-b32,fsadc,2000,3,2.164000,0.996101,0.000000,0.063667,1.124000,0.812667,0.161333,1.060237,32
1778158020280915,fsadc-m16-p500-b64,fsadc,2000,3,2.159667,0.996101,0.000000,0.063000,1.114000,0.813333,0.166000,1.059131,64
1778158034391945,fsadc-m16-p500-b128,fsadc,2000,3,2.159333,0.996101,0.000000,0.063333,1.104333,0.819667,0.169000,1.064567,128
1778158049388085,fsadc-m16-p1000-b16,fsadc,2000,3,2.303000,0.999750,0.000000,0.062667,1.109667,0.824667,0.302667,1.086734,16
1778158064459044,fsadc-m16-p1000-b64,fsadc,2000,3,2.320333,0.999750,0.000000,0.063667,1.122667,0.821667,0.309333,1.063133,64
1778158079478745,fsadc-m16-p1000-b128,fsadc,2000,3,2.311667,0.999750,0.000000,0.063667,1.121667,0.822000,0.301000,1.061061,128
