method,platform,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,run_id,latency_ms,recall,index_size_mb,build_time_sec,coarse_ms,rerank_ms,cycles,instructions,cpi,l1_miss_rate,llc_miss_rate
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,17.783000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,18.006000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,17.871000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,17.796000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Scalar-NoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,17.579000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,11.290000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,11.333000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,11.358000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,11.087000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-AutoVec,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,11.296000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,7.748000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,7.876000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,7.571000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,7.655000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-Manual-NEON,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,7.672000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,1,7.629000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,2,7.702000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,3,7.718000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,4,7.704000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-AlignedHint,ARM-aarch64-NEON,100000,96,100,10,0,0,0,1,0,heap,5,7.729000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,1,7.669000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,2,7.135000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,3,6.243000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,4,7.261000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll2,ARM-aarch64-NEON,100000,96,100,10,0,0,0,2,0,heap,5,7.384000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,1,7.866000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,2,7.901000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,3,7.878000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,4,7.866000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,0,heap,5,7.889000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,1,7.414000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,2,6.951000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,3,7.507000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,4,7.669000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
Flat-NEON-Unroll4-Prefetch,ARM-aarch64-NEON,100000,96,100,10,0,0,0,4,16,heap,5,7.649000,1.000000,38.400000,0.000000,0.000000,0.000000,0,0,0,0,0
