method,platform,family,label,N,d,Q,k,M,Ks,p,unroll,prefetch,topk,latency_mean,latency_std,recall_mean,recall_std,index_size_mb,build_time_sec,coarse_ms,rerank_ms
PQ-ADC-M8-p100,ARM-aarch64-NEON,PQ-ADC,"M8, p=100",100000,96,20,10,8,256,100,1,0,heap,1.332,0.0049497474683058195,0.65,0.0,0.8983039999999999,1.205489,1.298,0.033
PQ-ADC-M8-p500,ARM-aarch64-NEON,PQ-ADC,"M8, p=500",100000,96,20,10,8,256,500,1,0,heap,1.6949999999999998,0.022726636354727152,0.93,0.0,0.8983039999999999,1.205489,1.5472,0.14700000000000002
PQ-ADC-M12-p100,ARM-aarch64-NEON,PQ-ADC,"M12, p=100",100000,96,20,10,12,256,100,1,0,heap,1.8066,0.007092249290598823,0.8100000000000002,0.0,1.298304,1.152217,1.7772,0.028399999999999998
PQ-SDC-M8-coarse,ARM-aarch64-NEON,PQ-SDC,SDC M8 coarse,100000,96,20,10,8,256,0,1,0,coarse-only,2.0158,0.013141537200799532,0.16,0.0,0.8983039999999999,1.205489,2.0143999999999997,0.0
PQ-SDC-M8-p100,ARM-aarch64-NEON,PQ-SDC,"SDC M8, p=100",100000,96,20,10,8,256,100,1,0,nth-rerank,2.0426,0.005319774431308415,0.45499999999999996,0.0,0.8983039999999999,1.205489,2.0146,0.0274
PQ-ADC-M8-p1000,ARM-aarch64-NEON,PQ-ADC,"M8, p=1000",100000,96,20,10,8,256,1000,1,0,heap,2.1466000000000003,0.03195778465413399,0.97,0.0,0.8983039999999999,1.205489,1.8296,0.316
PQ-SDC-M8-p500,ARM-aarch64-NEON,PQ-SDC,"SDC M8, p=500",100000,96,20,10,8,256,500,1,0,nth-rerank,2.1506,0.007635443667528386,0.705,0.0,0.8983039999999999,1.205489,2.027,0.12279999999999999
PQ-ADC-M12-p500,ARM-aarch64-NEON,PQ-ADC,"M12, p=500",100000,96,20,10,12,256,500,1,0,heap,2.1812,0.02130023474049044,0.95,0.0,1.298304,1.152217,2.0218,0.1584
PQ-SDC-M8-p1000,ARM-aarch64-NEON,PQ-SDC,"SDC M8, p=1000",100000,96,20,10,8,256,1000,1,0,nth-rerank,2.2704,0.011886967653695275,0.8149999999999998,0.0,0.8983039999999999,1.205489,2.034,0.2354
PQ-SDC-M8-p2000,ARM-aarch64-NEON,PQ-SDC,"SDC M8, p=2000",100000,96,20,10,8,256,2000,1,0,nth-rerank,2.5258000000000003,0.005167204273105457,0.925,0.0,0.8983039999999999,1.205489,2.054,0.4704
