method,family,M,p,unroll,prefetch,block,topk,latency_ms,recall,encode_ms,lut_ms,scan_ms,select_ms,rerank_ms,build_time_sec,index_size_mb
Flat-Scalar,flat,0,0,1,0,0,heap,4.607640,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-Scalar,flat,0,0,1,0,0,heap,4.902862,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-Scalar,flat,0,0,1,0,0,heap,5.374273,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AutoVec,flat,0,0,1,0,0,heap,4.706849,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AutoVec,flat,0,0,1,0,0,heap,4.267247,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AutoVec,flat,0,0,1,0,0,heap,4.064324,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-SSE,flat,0,0,1,0,0,heap,2.818200,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-SSE,flat,0,0,1,0,0,heap,2.785997,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-SSE,flat,0,0,1,0,0,heap,2.800264,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX,flat,0,0,1,0,0,heap,2.631119,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX,flat,0,0,1,0,0,heap,2.740194,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX,flat,0,0,1,0,0,heap,2.857681,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch4,flat,0,0,1,4,0,heap,2.724720,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch4,flat,0,0,1,4,0,heap,2.548232,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch4,flat,0,0,1,4,0,heap,2.896092,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch8,flat,0,0,1,8,0,heap,2.964365,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch8,flat,0,0,1,8,0,heap,2.694257,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch8,flat,0,0,1,8,0,heap,2.747484,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch16,flat,0,0,1,16,0,heap,2.727448,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch16,flat,0,0,1,16,0,heap,2.719811,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch16,flat,0,0,1,16,0,heap,2.778767,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch32,flat,0,0,1,32,0,heap,2.723498,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
Flat-AVX-prefetch32,flat,0,0,1,32,0,heap,2.704508,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.400000
